name	rank	threshold_0.90_exclude0	threshold_0.99_exclude0	threshold_add0_0.99	taxid	threshold_0.90_include0	threshold_0.99_include0
'Catharanthus roseus' aster yellows phytoplasma	S	44.9001145000737	73.2514629949144	0	1193712	44.9001145000737	73.2514629949144
Abalone shriveling syndrome-associated virus	S	28.7184297893884	55.0159776261965	14.0540241493076	491893	28.7184297893884	55.0159776261965
Abbeymikolonvirus	G	2.56971640609742	2.56971640609742	0	2733163	2.56971640609742	2.56971640609742
Abbeymikolonvirus abbeymikolon	S	2.56971640609742	2.56971640609742	0	2734213	2.56971640609742	2.56971640609742
Abelson murine leukemia virus	S	1915.57323293087	44599.0000252426	19960.8850433733	11788	1915.57323293087	44599.0000252426
Abidjanvirus	G	10.3853145812777	19.2085732534324	0	1982095	10.3853145812777	19.2085732534324
Abiotrophia	G	150.721422744149	761.538489116087	195.246310750524	46123	150.721422744149	761.538489116087
Abiotrophia defectiva	S	150.721422744149	761.538489116087	195.246310750524	46125	150.721422744149	761.538489116087
Abyssicoccus	G	62.1790514253373	176.821647390903	77.6274752051903	1955413	62.1790514253373	176.821647390903
Abyssicoccus albus	S	62.1790514253373	176.821647390903	77.6274752051903	1817405	62.1790514253373	176.821647390903
Abyssogena phaseoliformis symbiont	S	55.2808810602944	142.54715365179	25.4656537081899	596095	55.2808810602944	142.54715365179
Acadevirus	G	2.97473609501336	6.13242326569021	0	2732918	2.97473609501336	6.13242326569021
Acadevirus PM116	S	0.119419853574541	0.119419853574541	0	2733576	0.119419853574541	0.119419853574541
Acadianvirus	G	13.4787398765798	15.520064679808	0	1982897	13.4787398765798	15.520064679808
Acadianvirus acadian	S	6.29995260178094	8.98907236114891	0	1982901	6.29995260178094	8.98907236114891
Acadianvirus baee	S	15.7651621446927	15.7651621446927	0	1982902	15.7651621446927	15.7651621446927
Acadianvirus reprobate	S	5.11773345820603	5.11773345820603	0	1982903	5.11773345820603	5.11773345820603
Acajnonavirus	G	62.8841498850604	80.1962207590004	0	2842539	62.8841498850604	80.1962207590004
Acajnonavirus acj9	S	62.8841498850604	80.1962207590004	0	2843630	62.8841498850604	80.1962207590004
Acanthamoeba polyphaga mimivirus	S	27.862932905983	332.26048024	4.96728737887288	212035	27.862932905983	332.26048024
Acanthocystis turfacea chlorella virus 1	S	87.8090668717089	128.386762808427	0.80626597528727	322019	87.8090668717089	128.386762808427
Acaryochloris	G	51.047078296136	121.753421668085	64.8250947258585	155977	51.047078296136	121.753421668085
Acaryochloris marina	S	43.3601576871239	134.041262070101	61.1430179769502	155978	43.3601576871239	134.041262070101
Acaryochloris sp. 'Moss Beach'	S	34.5368020960406	64.1358062696245	5.08577194850493	2740837	34.5368020960406	64.1358062696245
Acetilactobacillus	G	21.51972282597	129.667458684959	21.2465796500612	2767874	21.51972282597	129.667458684959
Acetilactobacillus jinshanensis	S	21.51972282597	129.667458684959	21.2465796500612	1720083	21.51972282597	129.667458684959
Acetivibrio	G	77.5391831167093	348.674548745996	146.516371798406	35829	77.5391831167093	348.674548745996
Acetivibrio clariflavus	S	59.4427620762557	173.958831815989	86.8027030780836	288965	59.4427620762557	173.958831815989
Acetivibrio saccincola	S	61.7098189679725	354.728337070036	92.9851738676143	1677857	61.7098189679725	354.728337070036
Acetivibrio thermocellus	S	36.790229562564	103.218927879455	40.0920984684045	1515	36.790229562564	103.218927879455
Acetoanaerobium	G	78.5697050332716	182.509009254349	131.717042417733	186831	78.5697050332716	182.509009254349
Acetoanaerobium sticklandii	S	78.5697050332716	182.509009254349	131.717042417733	1511	78.5697050332716	182.509009254349
Acetobacter	G	307.932085623831	1590.45629598719	701.360935793208	434	307.932085623831	1590.45629598719
Acetobacter aceti	S	64.5729358791216	221.091105914329	112.607783537444	435	64.5729358791216	221.091105914329
Acetobacter ascendens	S	29.927654954612	337.156769414422	25.5457037694221	481146	29.927654954612	337.156769414422
Acetobacter ghanensis	S	59.0144585423429	209.995800083998	57.8671206521238	431306	59.0144585423429	209.995800083998
Acetobacter orientalis	S	15.5252984738632	24.3258171810308	8.85227317482465	146474	15.5252984738632	24.3258171810308
Acetobacter oryzifermentans	S	54.6224999011058	199.163420110468	12.6749203568927	1633874	54.6224999011058	199.163420110468
Acetobacter oryzoeni	S	15.1654594745509	25.5062173443172	5.95087290663604	2500548	15.1654594745509	25.5062173443172
Acetobacter pasteurianus	S	126.123633693339	777.186227431433	346.037256800084	438	126.123633693339	777.186227431433
Acetobacter persici	S	263.915644181642	1578.87129115012	577.207908774846	1076596	263.915644181642	1578.87129115012
Acetobacter pomorum	S	18.1510781663504	45.8051278356045	0.134870586670602	65959	18.1510781663504	45.8051278356045
Acetobacter senegalensis	S	34.6813236451077	61.517864141125	20.069630915838	446692	34.6813236451077	61.517864141125
Acetobacter sp. KACC 21233	S	29.5956013115851	96.0613208122566	26.5953494512562	2592655	29.5956013115851	96.0613208122566
Acetobacter tropicalis	S	24.417481928801	74.3473274442525	18.0140143148541	104102	24.417481928801	74.3473274442525
Acetobacterium	G	62.8872701097373	303.679728525842	90.5488068053328	33951	62.8872701097373	303.679728525842
Acetobacterium sp. KB-1	S	57.5961559268132	303.966577974967	54.671282637369	2184575	57.5961559268132	303.966577974967
Acetobacterium woodii	S	59.0990715211345	152.195427360372	71.3919408698049	33952	59.0990715211345	152.195427360372
Acetohalobium	G	59.1746760011482	177.971027899471	70.5476338616297	28186	59.1746760011482	177.971027899471
Acetohalobium arabaticum	S	59.1746760011482	177.971027899471	70.5476338616297	28187	59.1746760011482	177.971027899471
Acetomicrobium	G	23.5192070171064	182.830687602126	20.424938541063	49894	23.5192070171064	182.830687602126
Acetomicrobium mobile	S	23.5192070171064	182.830687602126	20.424938541063	97477	23.5192070171064	182.830687602126
Acholeplasma	G	47.3381868440005	6943.83504389875	69.142492733716	2147	47.3381868440005	6943.83504389875
Acholeplasma hippikon	S	35.3893163544331	244.728021919022	33.2380108692231	264636	35.3893163544331	244.728021919022
Acholeplasma laidlawii	S	33.1186638637506	9282.11782597106	40.3447689506322	2148	33.1186638637506	9282.11782597106
Achromobacter	G	722.13061588627	2226.83517772952	1261.68311471182	222	722.13061588627	2226.83517772952
Achromobacter deleyi	S	77.3516728010232	263.51295263261	94.7364684791195	1353891	77.3516728010232	263.51295263261
Achromobacter denitrificans	S	67.7320109635955	171.229757419635	95.698473200602	32002	67.7320109635955	171.229757419635
Achromobacter insolitus	S	92.0243638062286	203.11754044973	151.21063267111	217204	92.0243638062286	203.11754044973
Achromobacter pestifer	S	81.7987746091967	999.730731051784	140.629915259133	1353889	81.7987746091967	999.730731051784
