taxonomy_degree	taxonomy	tax_study
class	028H05-P-BN-P5	root:Environmental:1
class	0319-6E2	root:Environmental:2
class	12-24	root:Engineered:1|root:Environmental:2
class	3BR-5F	root:Environmental:1
class	4C0d-2	root:Engineered:8|root:Environmental:3|root:Host-associated:46
class	A712011	root:Environmental:2
class	AB16	root:Engineered:2|root:Environmental:35|root:Host-associated:2
class	ABS-6	root:Environmental:10|root:Host-associated:3
class	ABY1	root:Engineered:2|root:Environmental:3
class	ANME-1	root:Engineered:1|root:Environmental:3
class	AT-s2-57	root:Environmental:1
class	Acantharea	root:Environmental:14
class	Acidimicrobiia	root:Engineered:64|root:Environmental:715|root:Host-associated:68|root:Mixed:4|root:NA:1
class	Acidithiobacillia	root:Engineered:4|root:Environmental:7|root:Host-associated:1
class	Acidobacteria	root:Environmental:7|root:Engineered:234|root:Environmental:1175|root:Host-associated:392|root:Mixed:29|root:NA:1
class	Acidobacteria-2	root:Environmental:1|root:Host-associated:1
class	Acidobacteria-5	root:Environmental:5|root:Host-associated:1
class	Acidobacteria-6	root:Engineered:9|root:Environmental:171|root:Host-associated:41
class	Acidobacteriia	root:Engineered:12|root:Environmental:215|root:Host-associated:61|root:Mixed:5
class	Acoela	root:Environmental:9
class	Actinobacteria	root:Control:1|root:Engineered:376|root:Environmental:1138|root:Host-associated:912|root:Mixed:29|root:Control:1|root:Engineered:456|root:Environmental:1699|root:Host-associated:1146|root:Mixed:34|root:NA:1
class	Actinopteri	root:Engineered:2|root:Environmental:11|root:Host-associated:6
class	Actinopterygii	root:Environmental:1
class	Agaricomycetes	root:Engineered:8|root:Environmental:26|root:Host-associated:18
class	Alphaproteobacteria	root:Control:1|root:Engineered:400|root:Environmental:1831|root:Host-associated:645|root:Mixed:33|root:NA:1
class	Amphibia	root:Host-associated:1
class	Anaerolineae	root:Engineered:165|root:Environmental:439|root:Host-associated:44|root:Mixed:6
class	Anopla	root:Environmental:2
class	Anthozoa	root:Environmental:18|root:Host-associated:12
class	Aphelidea	root:Engineered:5|root:Environmental:16|root:Host-associated:4
class	Appendicularia	root:Environmental:24|root:Host-associated:1
class	Apusozoa cls Incertae sedis	root:Environmental:1
class	Aquificae	root:Engineered:3|root:Environmental:40|root:Mixed:1|root:Engineered:4|root:Environmental:45|root:Mixed:1
class	Arachnida	root:Engineered:5|root:Environmental:14|root:Host-associated:13
class	Archaeoglobi	root:Environmental:21
class	Archaeorhizomycetes	root:Environmental:6|root:Host-associated:4
class	Archaeosporomycetes	root:Host-associated:1
class	Ardenticatenia	root:Engineered:13|root:Environmental:13|root:Host-associated:3
class	Armatimonadia	root:Engineered:1|root:Environmental:1|root:Host-associated:2
class	Armophorea	root:Environmental:2
class	Arthoniomycetes	root:Environmental:1
class	Ascetosporea	root:Environmental:1
class	Ascidiacea	root:Environmental:5|root:Host-associated:2
class	Asteroidea	root:Environmental:1
class	At12OctB3	root:Environmental:1
class	Aves	root:Host-associated:1
class	BD1-5	root:Environmental:2|root:Host-associated:1
class	BD4-9	root:Environmental:2
class	BPC102	root:Engineered:1|root:Environmental:6|root:Host-associated:2
class	BS119	root:Environmental:2
class	BSV26	root:Environmental:1
class	Bacillariophyceae	root:Engineered:1|root:Environmental:59|root:Host-associated:2|root:Mixed:1
class	Bacilli	root:Control:1|root:Engineered:312|root:Environmental:457|root:Host-associated:979|root:Mixed:18
class	Bacteroidia	root:Control:1|root:Engineered:285|root:Environmental:531|root:Host-associated:913|root:Mixed:17
class	Balneolia	root:Engineered:4|root:Environmental:68|root:Host-associated:2
class	Bangiophyceae	root:Environmental:1|root:Host-associated:9
class	Bdelloidea	root:Engineered:5
class	Betaproteobacteria	root:Control:1|root:Engineered:409|root:Environmental:1276|root:Host-associated:915|root:Mixed:25
class	Bigyra	root:Environmental:8|root:Host-associated:1
class	Bivalvia	root:Environmental:24|root:Host-associated:7
class	Blastocatellia	root:Engineered:5|root:Environmental:43|root:Host-associated:19|root:Mixed:4
class	Blastocladiomycetes	root:Environmental:1
class	Branchiopoda	root:Engineered:1|root:Environmental:8|root:Host-associated:3
class	Bryopsida	root:Environmental:2
class	CK-1C4-19	root:Host-associated:1
class	Calcarea	root:Environmental:1
class	Caldilineae	root:Engineered:25|root:Environmental:37|root:Host-associated:20|root:Mixed:2
class	Caldisericia	root:Engineered:1|root:Environmental:4
class	Caldithrixae	root:Engineered:1
class	Calditrichae	root:Environmental:17|root:Host-associated:1
class	Candidatus Methanomethylia	root:Environmental:9
class	Candidatus Peribacteria	root:Engineered:1|root:Environmental:7
class	Candidatus Poseidoniia	root:Environmental:4
class	Candidatus Thalassoarchaea	root:Environmental:3
class	Cestoda	root:Engineered:1|root:Environmental:4|root:Host-associated:1
class	Chitinispirillia	root:Engineered:1|root:Environmental:1
